demanda_preajuste,inventario_preajuste,produccion_preajuste,precio_preajuste,volatilidad_precio,subida_brusca_precio,escasez
1516.0,63.0,1486.0,21.0,0.96307,0,0
1549.0,23.0,1458.0,22.0,1.07703,0,0
1569.0,0.0,1477.0,24.0,1.54596,1,1
1507.0,0.0,1403.0,27.0,2.24499,1,1
1652.0,0.0,1413.0,9.0,0.5,0,0
1635.0,0.0,1578.0,10.0,0.8165,0,0
1628.0,0.0,1761.0,11.0,0.82916,0,0
1665.0,96.0,1853.0,11.0,0.8,0,0
1669.0,199.0,1810.0,11.0,0.74536,0,0
1652.0,239.0,1778.0,10.0,0.83299,0,0
1679.0,254.0,1734.0,9.0,0.86603,0,0
1669.0,217.0,1697.0,9.0,0.87489,0,0
1668.0,173.0,1655.0,9.0,0.87178,0,0
1653.0,113.0,1648.0,9.0,0.8332,1,0
1600.0,77.0,1669.0,10.0,0.82916,0,0
1629.0,102.0,1566.0,9.0,0.79941,1,0
1659.0,27.0,1667.0,10.0,0.83299,1,0
1610.0,25.0,1794.0,11.0,0.85375,0,0
1675.0,147.0,1704.0,11.0,0.86603,1,0
1623.0,123.0,1761.0,11.0,0.84017,0,0
1670.0,184.0,1679.0,10.0,0.8165,0,0
1635.0,134.0,1683.0,10.0,0.79472,0,0
1663.0,129.0,1604.0,10.0,0.7746,0,0
1638.0,49.0,1581.0,10.0,0.76811,0,0
1616.0,1.0,1741.0,11.0,0.79215,0,0
1662.0,88.0,1684.0,11.0,0.79215,0,0
1643.0,79.0,1724.0,11.0,0.79215,0,0
1686.0,113.0,1660.0,11.0,0.79215,0,0
1677.0,61.0,1718.0,11.0,0.8124,0,0
1679.0,72.0,1720.0,11.0,0.85294,0,0
1656.0,78.0,1787.0,12.0,0.80467,0,0
1630.0,147.0,1791.0,11.0,0.74162,0,0
1647.0,217.0,1619.0,10.0,0.66332,0,0
1657.0,132.0,1664.0,11.0,0.65383,0,0
1643.0,99.0,1660.0,11.0,0.53619,0,0
1661.0,83.0,1660.0,11.0,0.5099,0,0
1647.0,57.0,1755.0,11.0,0.53619,0,0
1685.0,115.0,1624.0,10.0,0.53619,0,0
1627.0,38.0,1722.0,11.0,0.53619,0,0
1661.0,94.0,1714.0,11.0,0.5099,0,0
1682.0,103.0,1788.0,11.0,0.5099,0,0
1706.0,147.0,1717.0,10.0,0.5099,0,0
1654.0,111.0,1674.0,10.0,0.5099,0,0
1620.0,92.0,1698.0,10.0,0.53619,0,0
1688.0,121.0,1700.0,10.0,0.55678,0,0
1762.0,93.0,1656.0,10.0,0.62249,1,0
1774.0,0.0,1847.0,12.0,0.67823,1,0
1816.0,51.0,1923.0,12.0,0.67823,0,0
1790.0,111.0,1867.0,11.0,0.67823,0,0
1900.0,131.0,1775.0,11.0,0.67823,0,0
1918.0,4.0,1945.0,12.0,0.83066,0,0
1935.0,22.0,2113.0,13.0,0.83666,0,0
1967.0,141.0,2099.0,12.0,0.86458,0,0
2035.0,190.0,2067.0,12.0,0.86458,0,0
2066.0,156.0,2047.0,11.0,0.86458,0,0
2073.0,96.0,2150.0,11.0,0.86458,0,0
2107.0,121.0,2195.0,11.0,0.86458,0,0
2187.0,148.0,2058.0,10.0,0.86458,0,0
2250.0,14.0,2233.0,11.0,0.88882,0,0
2192.0,0.0,2483.0,12.0,0.88882,0,0
2339.0,205.0,2252.0,11.0,0.87178,1,0
2314.0,83.0,2386.0,12.0,0.82916,0,0
2324.0,107.0,2410.0,11.0,0.78102,0,0
2461.0,134.0,2427.0,11.0,0.72629,0,0
2482.0,71.0,2463.0,11.0,0.66895,0,0
2637.0,36.0,2549.0,12.0,0.74162,1,0
2621.0,0.0,2828.0,13.0,0.80467,1,0
2697.0,146.0,2691.0,13.0,0.85294,1,0
2743.0,98.0,2832.0,13.0,0.88741,0,0
2820.0,132.0,2695.0,13.0,1.01366,0,0
2802.0,5.0,2921.0,14.0,1.20312,1,0
2868.0,88.0,2865.0,15.0,1.37477,1,0
2983.0,61.0,2992.0,15.0,1.61555,1,0
3096.0,49.0,3140.0,16.0,1.88149,1,0
3106.0,66.0,3353.0,17.0,1.98179,0,0
